time,cum_orders
0s,0
1s,0
2s,0
3s,0
4s,0
5s,0
6s,0
7s,0
8s,0
9s,0
10s,0
11s,0
12s,0
13s,0
14s,0
15s,0
16s,0
17s,0
18s,0
19s,0
20s,0
21s,0
22s,0
23s,0
24s,0
25s,0
26s,0
27s,0
28s,0
29s,0
30s,0
31s,0
32s,0
33s,0
34s,0
35s,0
36s,0
37s,0
38s,0
39s,0
40s,0
41s,0
42s,0
43s,0
44s,0
45s,0
46s,0
47s,0
48s,0
49s,0
50s,0
51s,0
52s,0
53s,0
54s,0
55s,0
56s,0
57s,0
58s,0
59s,0
60s,0
61s,0
62s,0
63s,0
64s,0
65s,0
66s,0
67s,0
68s,0
69s,0
70s,0
71s,0
72s,0
73s,0
74s,0
75s,0
76s,0
77s,0
78s,0
79s,0
80s,0
81s,0
82s,0
83s,0
84s,0
85s,0
86s,0
87s,0
88s,0
89s,0
90s,0
91s,0
92s,0
93s,0
94s,0
95s,0
96s,0
97s,0
98s,0
99s,0
100s,0
101s,0
102s,0
103s,0
104s,0
105s,0
106s,0
107s,0
108s,0
109s,0
110s,0
111s,0
112s,0
113s,0
114s,0
115s,0
116s,0
117s,0
118s,0
119s,0
120s,0
121s,0
122s,0
123s,0
124s,0
125s,0
126s,0
127s,0
128s,0
129s,0
130s,0
131s,0
132s,0
133s,0
134s,0
135s,0
136s,0
137s,0
138s,0
139s,0
140s,0
141s,0
142s,0
143s,0
144s,0
145s,0
146s,0
147s,0
148s,0
149s,0
150s,0
151s,0
152s,0
153s,0
154s,0
155s,0
156s,0
157s,0
158s,0
159s,0
160s,0
161s,0
162s,0
163s,0
164s,0
165s,0
166s,0
167s,0
168s,0
169s,2
170s,0
171s,0
172s,0
173s,0
174s,0
175s,0
176s,0
177s,0
178s,0
179s,0
180s,0
181s,0
182s,0
183s,0
184s,0
185s,0
186s,0
187s,0
188s,0
189s,0
190s,0
191s,0
192s,0
193s,0
194s,0
195s,0
196s,0
197s,0
198s,0
199s,0
200s,0
201s,0
202s,0
203s,0
204s,0
205s,0
206s,0
207s,0
208s,0
209s,0
210s,0
211s,0
212s,0
213s,0
214s,0
215s,0
216s,0
217s,0
218s,0
219s,0
220s,0
221s,0
222s,0
223s,0
224s,0
225s,0
226s,0
227s,0
228s,0
229s,0
230s,0
231s,0
232s,0
233s,0
234s,0
235s,0
236s,0
237s,0
238s,0
239s,0
240s,0
241s,0
242s,0
243s,0
244s,0
245s,0
246s,0
247s,0
248s,0
249s,0
250s,0
251s,0
252s,0
253s,0
254s,0
255s,0
256s,0
257s,0
258s,0
259s,0
260s,0
261s,0
262s,0
263s,0
264s,0
265s,0
266s,0
267s,0
268s,0
269s,0
270s,0
271s,0
272s,0
273s,0
274s,0
275s,0
276s,0
277s,0
278s,0
279s,0
280s,0
281s,0
282s,0
283s,0
284s,0
285s,0
286s,0
287s,0
288s,0
289s,0
290s,0
291s,0
292s,0
293s,0
294s,0
295s,0
296s,0
297s,0
298s,0
299s,0
300s,0
301s,0
302s,0
303s,0
304s,0
305s,0
306s,0
307s,0
308s,0
309s,0
310s,0
311s,0
312s,0
313s,0
314s,0
315s,0
316s,0
317s,0
318s,0
319s,0
320s,0
321s,0
322s,0
323s,0
324s,0
325s,0
326s,0
327s,0
328s,0
329s,0
330s,0
331s,0
332s,0
333s,0
334s,0
335s,0
336s,0
337s,0
338s,0
339s,0
340s,0
341s,0
342s,0
343s,0
344s,0
345s,0
346s,0
347s,0
348s,0
349s,0
350s,0
351s,0
352s,0
353s,0
354s,0
355s,0
356s,0
357s,0
358s,0
359s,0
360s,0
361s,0
362s,0
363s,0
364s,0
365s,0
366s,0
367s,0
368s,0
369s,0
370s,0
371s,0
372s,0
373s,0
374s,0
375s,0
376s,0
377s,0
378s,0
379s,0
380s,0
381s,0
382s,0
383s,0
384s,0
385s,0
386s,0
387s,0
388s,0
389s,0
390s,0
391s,0
392s,0
393s,0
394s,0
395s,0
396s,0
397s,0
398s,0
399s,0
400s,0
401s,0
402s,0
403s,0
404s,0
405s,0
406s,0
407s,0
408s,0
409s,0
410s,0
411s,0
412s,0
413s,0
414s,0
415s,0
416s,0
417s,0
418s,0
419s,0
420s,2
